| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          21 | d848060f9cbdbaf6676a79cb48565c9c36d6764e |          22 | 5e288b540ed17dd5fa974b972b0a60e590be3474 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          22 | 5e288b540ed17dd5fa974b972b0a60e590be3474 |          23 | 75777788d3a08726e97c33f25424a3aed9ea7af5 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 6        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          22 | 5e288b540ed17dd5fa974b972b0a60e590be3474 |          23 | 75777788d3a08726e97c33f25424a3aed9ea7af5 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 6        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          23 | 75777788d3a08726e97c33f25424a3aed9ea7af5 |          24 | 8bdd89b9705275c59c83560a18824fd6aea7fdf9 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          23 | 75777788d3a08726e97c33f25424a3aed9ea7af5 |          24 | 8bdd89b9705275c59c83560a18824fd6aea7fdf9 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          24 | 8bdd89b9705275c59c83560a18824fd6aea7fdf9 |          25 | ee6490d6e312ffd57f58721cf9311d08cb5ed3e7 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 6        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          24 | 8bdd89b9705275c59c83560a18824fd6aea7fdf9 |          25 | ee6490d6e312ffd57f58721cf9311d08cb5ed3e7 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 6        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          25 | ee6490d6e312ffd57f58721cf9311d08cb5ed3e7 |          26 | c4768ab4c7158820dcba7782d1f4c8c5705f32dc | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          25 | ee6490d6e312ffd57f58721cf9311d08cb5ed3e7 |          26 | c4768ab4c7158820dcba7782d1f4c8c5705f32dc | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          26 | c4768ab4c7158820dcba7782d1f4c8c5705f32dc |          27 | 5e68c0d4ef5dc794f9d36a1c9b8fd9e502136fe5 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 5        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          26 | c4768ab4c7158820dcba7782d1f4c8c5705f32dc |          27 | 5e68c0d4ef5dc794f9d36a1c9b8fd9e502136fe5 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 5        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          27 | 5e68c0d4ef5dc794f9d36a1c9b8fd9e502136fe5 |          28 | 76fa41b5a7f729cf6e22b32d54a8bfd80df9f0e4 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 6        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          27 | 5e68c0d4ef5dc794f9d36a1c9b8fd9e502136fe5 |          28 | 76fa41b5a7f729cf6e22b32d54a8bfd80df9f0e4 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 6        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          28 | 76fa41b5a7f729cf6e22b32d54a8bfd80df9f0e4 |          29 | 9c278ca2d6db17346b1b6218002ac780652224b8 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          28 | 76fa41b5a7f729cf6e22b32d54a8bfd80df9f0e4 |          29 | 9c278ca2d6db17346b1b6218002ac780652224b8 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          29 | 9c278ca2d6db17346b1b6218002ac780652224b8 |          30 | 2a06bda5b46e8039612464f6c4ee68a71ec0abbf | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          29 | 9c278ca2d6db17346b1b6218002ac780652224b8 |          30 | 2a06bda5b46e8039612464f6c4ee68a71ec0abbf | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 2        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          30 | 2a06bda5b46e8039612464f6c4ee68a71ec0abbf |          31 | 41406b487d70cb250c75e7750d9af3a9b49bbbcf | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 3        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          30 | 2a06bda5b46e8039612464f6c4ee68a71ec0abbf |          31 | 41406b487d70cb250c75e7750d9af3a9b49bbbcf | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 3        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          31 | 41406b487d70cb250c75e7750d9af3a9b49bbbcf |          32 | bdd40d26bdb101353fa25f11d31f739eb3e8af9f | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          31 | 41406b487d70cb250c75e7750d9af3a9b49bbbcf |          32 | bdd40d26bdb101353fa25f11d31f739eb3e8af9f | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          32 | bdd40d26bdb101353fa25f11d31f739eb3e8af9f |          33 | 0b4d61c4acbde5ef18a2c28825322c7fbcad6068 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          32 | bdd40d26bdb101353fa25f11d31f739eb3e8af9f |          33 | 0b4d61c4acbde5ef18a2c28825322c7fbcad6068 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          33 | 0b4d61c4acbde5ef18a2c28825322c7fbcad6068 |          34 | 773b6ee88a5c25066a8aef7f08f3fa919a1eafe5 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 4        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          33 | 0b4d61c4acbde5ef18a2c28825322c7fbcad6068 |          34 | 773b6ee88a5c25066a8aef7f08f3fa919a1eafe5 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 4        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          34 | 773b6ee88a5c25066a8aef7f08f3fa919a1eafe5 |          35 | 2a446013aff765fcb76a644311e6e042d869dd05 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          34 | 773b6ee88a5c25066a8aef7f08f3fa919a1eafe5 |          35 | 2a446013aff765fcb76a644311e6e042d869dd05 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          35 | 2a446013aff765fcb76a644311e6e042d869dd05 |          36 | 47279e3d278ad3c305c496a7e6559eee11528907 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          35 | 2a446013aff765fcb76a644311e6e042d869dd05 |          36 | 47279e3d278ad3c305c496a7e6559eee11528907 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          36 | 47279e3d278ad3c305c496a7e6559eee11528907 |          37 | 4e565f866ab027846b22228aec57eead5f2d2f99 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          36 | 47279e3d278ad3c305c496a7e6559eee11528907 |          37 | 4e565f866ab027846b22228aec57eead5f2d2f99 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          37 | 4e565f866ab027846b22228aec57eead5f2d2f99 |          38 | 364577506bfc84ab5a1430cf70f6d0f86f9f0f83 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 3        |        18 |
